osoba,rola,zgadywanie,ile_filmow
Hannes Bruun,montaż,brak,1
Hansjörg Weißbrich,montaż,brak,1
Harris Dickinson,scenariusz,brak,1
Hayedeh Safiyari,montaż,brak,1
Hella Utesch,muzyka,chyba K (imię na -a),1
Henryk Czyż,muzyka,brak,1
Herdís Stefánsdóttir kostiumy Margrét Einarsdóttir scenografia Heimir Sverrisson charakteryzacja Monika Podnajmer,muzyka,brak,1
Hi'Spec scenografia Masato Nunobe,muzyka,brak,1
Hideki Shima,zdjęcia,brak,1
Holly Gent,scenariusz,brak,1
Hong Sang-soo,scenariusz,brak,1
Hong Sang-soo,zdjęcia,brak,1
Hong Sang-soo,montaż,brak,1
Howard Ashman,scenariusz,brak,1
Howard E. Smith,montaż,brak,1
Ignacy Ciszewski,zdjęcia,brak,1
Igor Kaczmarek,montaż,brak,1
Igor Kłaczyński,muzyka,brak,1
Igor Mabano,muzyka,brak,1
Ila von Hasperg,montaż,brak,1
Ilias Kampanis,muzyka,brak,1
Ilka Janka Nagy,montaż,chyba K (imię na -a),1
Inur Ategi kostiumy Ahida Agirre scenografia María Carreté,muzyka,brak,1
Ion de Sosa,zdjęcia,brak,1
Ira Sachs,scenariusz,brak,1
István Szőnyi,zdjęcia,brak,1
Ita Zbroniec-Zajt,zdjęcia,brak,1
Itauana Coquet,scenariusz,chyba K (imię na -a),1
Ivan Marković,scenariusz,brak,1
Ivan Marković,montaż,brak,1
Ivan Ostrochovský,scenariusz,brak,1
Jafar Panahi,scenariusz,brak,1
Jafar Panahi,montaż,brak,1
Jamal Solomon,zdjęcia,brak,1
Janis Mazuch,zdjęcia,brak,1
Jaroslav Kučera,zdjęcia,brak,1
Jean-Baptiste de Laubier kostiumy Céline Sciamma scenografia Lionel Brison charakteryzacja Marie Luiset,muzyka,brak,1
Jean-Christophe Hym,montaż,brak,1
Jed Kurzel kostiumy Zohie Castellano scenografia Bethany Ryan charakteryzacja Gavin Turnbull,muzyka,brak,1
Jenny Lou Ziegel,zdjęcia,brak,1
Jerónimo Pérez Rioja,montaż,brak,1
Jim Crace,scenariusz,brak,1
Jim Jarmusch,scenariusz,brak,1
Jim Jarmusch kostiumy Catherine George scenografia Marco Bittner Rosser,muzyka,brak,1
Jingsong Dong,zdjęcia,brak,1
Jirapat Mekkrajai,montaż,brak,1
Jjippupmop Qihuo,scenariusz,brak,1
Joelle Alexis,montaż,brak,1
Jofre Marilia Moraes,montaż,brak,1
Johan Fasting,scenariusz,brak,1
Johan Stromberger kostiumy Art for Art-Wien,muzyka,brak,1
Johann Abraham,muzyka,brak,1
Jojo Shek,montaż,brak,1
Josef Krajbich,montaż,brak,1
Josh Madoff kostiumy Juan de Dios Ramírez,muzyka,brak,1
Joslyn Barnes,scenariusz,brak,1
Josué Eber Morales,zdjęcia,brak,1
Jozef Ciller scenografia Vladimir Popovic charakteryzacja Michal Jurkovič,muzyka,brak,1
João Jabace,muzyka,brak,1
João Marcos de Almeida scenografia Gustavo Vinagre,muzyka,brak,1
Julian Lautenbacher,scenariusz,brak,1
Julian Lautenbacher,zdjęcia,brak,1
Julius Jaenzon scenografia Alexander Bakó,zdjęcia,brak,1
Julius Krebs Damsbo,montaż,brak,1
Julius Krebs Damsbo scenografia Frosti Fridriksson,montaż,brak,1
Juraj Chlpík,zdjęcia,brak,1
János Baksa Soós,muzyka,brak,1
János Varga,zdjęcia,brak,1
Jérémie Dubois,scenariusz,brak,1
József Balázs,scenariusz,brak,1
Jørgen Stangebye Larsen,muzyka,brak,1
Kamy Lara,montaż,brak,1
Kangding Ray kostiumy Nadia Acimi charakteryzacja Zaira Eva Adén,muzyka,brak,1
Kao Tzu-Hao,zdjęcia,brak,1
Kaouther Ben Hania kostiumy Khadjia Zeggai scenografia Bassem Marzouk charakteryzacja Marie Fischer,montaż,brak,1
Karoline Strobl,muzyka,brak,1
Karolos Berahas kostiumy Anna Zotou,muzyka,brak,1
Kaspar Kaae kostiumy Kirsi Gum scenografia Marius Winje Brustad charakteryzacja Live Becker Knudsen,muzyka,brak,1
Kasper Tuxen,zdjęcia,brak,1
Kate McCullough,zdjęcia,brak,1
Keiran Goddard,scenariusz,brak,1
Kelsey Lu kostiumy Eniola Dawodu scenografia Hanrui Wang,muzyka,brak,1
Kendra McLaughlin,montaż,chyba K (imię na -a),1
Kettil Kasang,scenariusz,brak,1
Keïta Janota,muzyka,chyba K (imię na -a),1
