tytul_pl,rok,sekcja,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,kostiumy,scenografia,charakteryzacja,pierwsza_w_obsadzie,plec_pierwszej
Mała mama,2021,Pokazy Specjalne,K,K,K,M,M,,?,K,?,?,Joséphine Sanz,K
Memoria,2021,Pokazy Specjalne,M,M,M,M,M,,KM,?,?,?,Tilda Swinton,K
Metamorfoza ptaków,2020,Pokazy Specjalne,K,K,?,?,?,,?,,,?,Manuel Rosa,M
Na spalonym,2006,Pokazy Specjalne,M,M,?,M,?,,M,,?,?,Shima Mobarak-Shahi,
Nagi pocałunek,1964,Pokazy Specjalne,M,M,M,M,,,M,,,?,Constance Towers,K
Nowa fala,2025,Pokazy Specjalne,M,?,M,K,,?,KM,?,?,,Guillaume Marbeck,M
Powwow People,2025,Pokazy Specjalne,M,M,?,M,,,?,,,,Gina Bluebird,
"R21, czyli odrestaurowanie solidarności",2022,Pokazy Specjalne,M,KM,?,?,,?,M,,,,,
Sen dłuższy niż noc,1976,Pokazy Specjalne,K,K,M,?,M,?,?,K,K,,Laura Duke Condominas,K
Światło,1976,Pokazy Specjalne,K,K,M,M,M,,?,?,,?,Jeanne Moreau,K
To Dance Is to Resist,2026,Pokazy Specjalne,?,?,?,?,,,?,,,,Vol'demar Kabus,
Zestaw Alego Cherriego,,Pokazy Specjalne,M,M,M,M,K,,?,?,?,?,Halil Ersev Gökçek,
Błogosławieni niszczyciele,2025,Front Wizualny,?,,,,,,,,,,,
Bouchra,2025,Front Wizualny,?,?,?,?,?,,?,?,?,,Meriem Bennani,
Chronovisor,2026,Front Wizualny,?,?,?,?,M,,?,,?,,Anne Laure Sellier,
Ciało do życia,2025,Front Wizualny,M,M,?,KM,,K,?,,,,Ron Athey,M
Ciało Teresy,2026,Front Wizualny,K,K,?,?,,?,?,,,,Teresa Chmielewska,
Levers,2025,Front Wizualny,K,K,?,K,K,,?,,?,,Val Vint,
MACDO,2025,Front Wizualny,?,?,?,?,,?,?,?,,?,Alicia Campillo Salinas,
Pory roku,2025,Front Wizualny,K,K,?,KM,?,,KM,?,,,Simão Ramalho,
Reduta,2025,Front Wizualny,M,?,K,M,?,,KM,?,?,?,Denis Lavant,M
Widzenie Peryferyjne - zestaw,,Front Wizualny,?,?,?,?,?,?,M,,,,Marta Rees,
Wolfgang,2026,Front Wizualny,?,?,?,?,?,?,?,,?,,Ghazal Shojaei,
Złudzenie,2025,Front Wizualny,?,?,?,?,,?,?,,?,,Moon Guo Barker,
Allegro Pastell,2026,Trzecie Oko: Klub Złamanych Serc,K,M,M,M,M,,?,?,?,?,Sylvaine Faligant,K
Aro berria,2025,Trzecie Oko: Klub Złamanych Serc,K,K,M,?,?,,?,?,,,Maite Muguerza Ronse,
Fantazja,2025,Trzecie Oko: Klub Złamanych Serc,?,?,?,?,,?,?,,,,,
MAG MAG,2025,Trzecie Oko: Klub Złamanych Serc,?,M,?,?,?,,?,,,,Mai Fukagawa,
Motyl,2026,Trzecie Oko: Klub Złamanych Serc,K,K,M,K,M,?,K,,?,,Renate Reinsve,
Na zawsze twoja matczyna istota,2026,Trzecie Oko: Klub Złamanych Serc,K,K,M,?,,,M,,?,,Reinaldo Amien,
Nagły przebłysk słodyczy,2026,Trzecie Oko: Klub Złamanych Serc,?,?,?,?,?,,K,,,,,
Piękny i schludny pokój,2025,Trzecie Oko: Klub Złamanych Serc,K,KM,?,K,?,?,K,?,?,,Charlotte Aubin,
Prawdziwie nadzy,2026,Trzecie Oko: Klub Złamanych Serc,K,K,K,M,M,?,K,?,?,?,Caolán O'Gorman,
Shana,2026,Trzecie Oko: Klub Złamanych Serc,K,KM,M,?,,?,M,,?,,Eva Huault,
Dziecko nocy,2026,Nocne Szaleństwo,K,KM,M,M,M,,?,?,?,?,Seidi Haarla,K
